word,color,congruent,corrans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,inverse1.thisRepN,inverse1.thisTrialN,inverse1.thisN,inverse1.thisIndex,conven1.thisRepN,conven1.thisTrialN,conven1.thisN,conven1.thisIndex,intro_text.started,intro_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ready_text.started,ready_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,ISI.started,ISI.stopped,trial_text.started,trial_text.stopped,resp.keys,resp.corr,resp.started,resp.stopped,fixationtrial.started,fixationtrial.stopped,trial_display.started,trial_display.stopped,resp.rt,rest_text.started,rest_text.stopped,key_resp_8.keys,key_resp_8.started,key_resp_8.stopped,rest_beep_start.started,rest_beep_start.stopped,rest_beep_end.started,rest_beep_end.stopped,rest_display.started,rest_display.stopped,text_2.started,text_2.stopped,fixationmain.started,fixationmain.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,task_display.started,task_display.stopped,session,participant,date,expName,psychopyVersion,frameRate,
ĐỎ,RED,1,left,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003715999919222668,None,70.8668781999877,72.15001389999816,left,1,70.8668781999877,None,70.05046059998858,70.85035379999317,70.05046059998858,None,0.6947847999981605,,,,,,,,,,,,,,,,,,,,,,,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
XANH DƯƠNG,BLUE,1,down,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006080400009523146,None,73.86679679999361,75.14929760000086,down,1,73.86679679999361,None,73.05086509999819,73.85000459999719,73.05086509999819,None,0.8900242999952752,,,,,,,,,,,,,,,,,,,,,,,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
ĐỎ,RED,1,left,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003047499994863756,None,76.86551749998762,78.14879249999649,left,1,76.86551749998762,None,76.04913999998826,76.84880049999629,76.04913999998826,None,0.6535181000072043,,,,,,,,,,,,,,,,,,,,,,,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.07419229998777,None,None,79.07419229998777,84.04751449999458,,,,,,,,,,,,,,,,,,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
ĐỎ,YELLOW,0,left,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.07419229998777,80.04821679998713,108.05938549998973,None,79.07419229998777,None,109.8596006000007,111.15894539999135,109.07697660000122,109.8596006000007,up,0,0.9444745000073453,109.8596006000007,None,109.07697660000122,None,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
VÀNG,RED,0,up,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.85836600000039,114.14178739998897,112.04225269999006,112.84189820000029,left,0,1.041752399993129,112.85836600000039,None,112.04225269999006,None,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
XANH DƯƠNG,GREEN,1,down,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.85803909999959,117.14113669999642,115.04340169999341,115.84137159999227,right,0,0.7499909000034677,115.85803909999959,None,115.04340169999341,115.04340169999341,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
XANH LÁ,BLUE,1,right,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.85751039999013,120.14019209999242,118.04289849998895,118.84054319999996,down,0,0.7917248000012478,118.85751039999013,None,118.04289849998895,118.04289849998895,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
ĐỎ,RED,1,left,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.8565421999956,123.13990499998908,121.0401770999888,121.84004589999677,left,1,0.4204586000123527,121.8565421999956,None,121.0401770999888,121.0401770999888,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
ĐỎ,YELLOW,0,left,,,,,1,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.85611229999631,126.13926459998765,124.03958549999516,124.8393866999977,up,0,0.9107341999915661,124.85611229999631,None,124.03958549999516,124.03958549999516,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
XANH DƯƠNG,GREEN,1,down,,,,,1,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.85599969999748,129.13852999999654,127.0394157999981,127.83943889998773,None,0,,127.85599969999748,None,127.0394157999981,127.0394157999981,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
XANH LÁ,BLUE,1,right,,,,,1,2,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.8547353999893,132.13787880000018,130.05423579999479,130.83832450000045,down,0,0.8701052999967942,130.8547353999893,None,130.05423579999479,130.05423579999479,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
VÀNG,RED,0,up,,,,,1,3,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.85429789999034,135.1373661999969,133.03864619998785,133.8376877999981,left,0,0.49826199999370147,133.85429789999034,None,133.03864619998785,133.03864619998785,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
ĐỎ,RED,1,left,,,,,1,4,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.8536502999923,138.13705439999467,136.03808839998965,136.83711359999143,left,1,0.4607283999939682,136.8536502999923,None,136.03808839998965,136.03808839998965,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
