word,color,congruent,corrans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,inverse1.thisRepN,inverse1.thisTrialN,inverse1.thisN,inverse1.thisIndex,conven1.thisRepN,conven1.thisTrialN,conven1.thisN,conven1.thisIndex,intro_text.started,intro_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ready_text.started,ready_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,ISI.started,ISI.stopped,trial_text.started,trial_text.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,fixationtrial.started,fixationtrial.stopped,trial_display.started,trial_display.stopped,rest_text.started,rest_text.stopped,key_resp_8.keys,key_resp_8.started,key_resp_8.stopped,rest_beep_start.started,rest_beep_start.stopped,rest_beep_end.started,rest_beep_end.stopped,rest_display.started,rest_display.stopped,text_2.started,text_2.stopped,fixationmain.started,fixationmain.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,task_display.started,task_display.stopped,session,participant,date,expName,psychopyVersion,frameRate,
ĐỎ,YELLOW,0,left,,,,,2,3,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.17939119999937,183.46248470000137,181.3625663999992,182.16252140000142,right,0,1.2000411999979406,182.17939119999937,None,181.3625663999992,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH DƯƠNG,GREEN,1,down,,,,,2,4,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.1796136999983,186.46238179999636,184.36324239999522,185.16264509999746,down,1,1.1531143999964115,185.1796136999983,None,184.36324239999522,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
VÀNG,RED,0,up,,,,,3,0,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.1792459999997,189.46255749999546,187.36265029999777,188.16252689999965,right,0,1.1839197000008426,188.1792459999997,None,187.36265029999777,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH LÁ,BLUE,1,right,,,,,3,1,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.17919940000138,192.46268309999869,190.3633789000014,191.16271509999933,None,0,,191.17919940000138,None,190.3633789000014,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH DƯƠNG,GREEN,1,down,,,,,3,2,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.17954309999914,195.46256889999495,193.36334799999895,194.16263839999738,None,0,,194.17954309999914,None,193.36334799999895,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,RED,1,left,,,,,3,3,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.1792443000013,198.46251649999613,196.36266310000065,197.16268000000127,left,1,0.5722013999984483,197.1792443000013,None,196.36266310000065,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,YELLOW,0,left,,,,,3,4,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.1799422999975,201.46279729999515,199.36253209999995,200.16266869999527,up,0,0.7760133000047063,200.1799422999975,None,199.36253209999995,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,YELLOW,0,left,,,,,4,0,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.1798140999963,204.46255250000104,202.36319240000012,203.16255019999517,up,0,0.7743802999975742,203.1798140999963,None,202.36319240000012,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH LÁ,BLUE,1,right,,,,,4,1,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.1796084000016,207.46379709999746,205.36299609999696,206.16348469999502,right,1,1.314279099999112,206.1796084000016,None,205.36299609999696,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH DƯƠNG,GREEN,1,down,,,,,4,2,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.17973920000077,210.4625315000012,208.36360269999568,209.16258959999686,down,1,1.0034253999983775,209.17973920000077,None,208.36360269999568,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
